,claim,labels,pros,cons
249,"Capital punishment should be abolished in the United States.There are individuals who are not suited for the community, cannot or will not ever benefit the community - at least not in any way that could possibly equal the harm they have done.  We should not be forced as a community to pay for them to live comfortable for the rest of their days when they will never contribute meaningfully no repay the debt.  Life in prison is what should be abolished.",['slippery slope'],[nan],[nan]
250,"There are severe barriers to specifying who should be entitled to reparations, and what form reparations would take.If reparations are meant to compensate those who suffered from slavery, they should also be given to the descendants of the Union soldiers who were harmed or killed in the fight against slavery.",['slippery slope'],[nan],[nan]
251,It is morally wrong to harm a defenseless person.It is morally wrong to not go to extreme measures i.e. torture to extract life saving information from a captured prisoner.,['slippery slope'],[nan],"[' Moral philosophies like ""Effective Altruism"" do take into account numbers as a way to maximize impact. This particular argument centers around whether one should save one person or ten. This comes down to a conflict between practicality and idealism.\nClick here to see the claims underneath.\n  It is selfish to value your own life and happiness over others\'. If the next person has to be you, your family member, or your friend, it is moral to give that sacrifice.']"
252,"Removing or renaming Confederate memorials/monuments presents a slippery slope wherein eventually any memorial linked to the colonial era or other problematic legacies could be considered representative of oppression, and thus deserving of eradication.It is difficult to draw a line that satisfies everybody. If Confederate monuments are removed, statues of Presidents like Jefferson and Washington, who owned slaves, could be next.",['slippery slope'],"[' 7\nThe slippery slope is only a valid argument if you can prove the slope is real, meaning that you can prove that the beginning action being argued for includes significant provisions or risks that will lead to continuing the process.\nClick here to see the claims underneath.\n ', nan]","[' 1\nMen fighting a bloody war against the government of the United States to defend slavery may be how some remember them, but the controversy exists because there is broad disagreement among others who do not remember them this way.\n This is not a slippery slope fallacy. A slippery slope fallacy happens when ""a party asserts that a relatively small first step leads to a chain of related events culminating in some significant (usually negative) effect.""\n\nRemoving one monument is an action that could easily expand to other monuments with similar traits.', ' 17\nContext is vital in estimating the appropriateness of any particular monument. They should be considered in the context of the time they were erected.\nClick here to see the claims underneath.\n  9\nWe would not consider Roman and Greek statues controversial. In some years, the Civil War, the Union and the Confederacy will be similar to the Greeks and Romans. If we remove the monuments, the historic artifacts will be lost forever.\n Unsupported\nlinked in TEN?! places, and wholly unsupported!']"
253,Infant circumcision should be banned.The choice to circumcise is a religious right.,['slippery slope'],[nan],[nan]
254,"A civilised society needs a political discourse where issues can be discussed on their merits, without discussions getting derailed by ad-hominem attacks.Ad hominem attacks don't necessarily derail discussions. They (and other informal logical fallacies) are commonly used in speech. They can reveal specific problems in communication, an understanding of which may move discussions forward.","['slippery slope', 'ad hominem']",[nan],[nan]
255,"PC culture may establish a moral hegemony of a single group, thus forcefully coercing non-PC people to change their views. This may lead to censorship on one hand, and compelled speech (and thought) on the other.PC culture is not closed off to counter-arguments in general, it just sets a standard on how these arguments should be worded (without verbally discriminating others). Suggesting that basic rules for what constitutes civil discourse could lead to censorship is a fallacious slippery slope argument.",['slippery slope'],[nan],[nan]
256,"Political correctness is detrimental to society.Political correctness creates an inhospitable environment for free speech and by extension, free thought and free expression.","['slippery slope', 'ad hominem']",[nan],"[nan, ' If we take gender neutral pronouns as an example one may not use the desired gender pronouns because it is inflammatory but because of their biological significance. Common courtesy is not common if it is adjusted because of the wishes of a minority.\nClick here to see the claims underneath.\n ']"
257,"Compromising liberty and privacy for the purpose of security is counterproductive.Safety is a prerequisite for enjoying liberty. If an individual is not safe, it hardly matters how free they are.",['slippery slope'],"["" Napoleon didn't immediately become emperor in post revolutionary France because libertarian ideas were still high. Instead he slowly rose to power and established popularity within the people before doing away with ideas like democracy and instead proclaiming himself Emperor.\nClick here to see the claims underneath.\n  Stalin's rise to power included slowly purging his opponents one by one and developing stricter controls over the populace. Springing up a totalitarian state immediately post revolution in Soviet Russia would've been unsustainable. Rather it was the slow move towards totalitarianism that allowed it to be sustained.\n The holocaust in Germany was not an instant process. People wouldn't instantly have accepted concentration camps springing up. Rather it was a slow development towards genocide with a gradual dehumanizing of Jewish people in public and a slow eradication of their rights.""]",[nan]
258,"Admission to hell cannot be based on rigid rules that apply to everyone equally. It must be far more complex than that. Everyone is different. God must be far more complex than humans. If we believe that worship or belief can determine our fate in the afterlife, we are too smug and sadly mistaken that we can even be privy to the subtle nuances of God's judgment.From Rev 13:8 and Rev 20:15, at least 1 person is going to go to hell due to their exclusion from the lambs book of life which according to Mal 3:16 consists of people who fear and honor God. This is measure of a person's inner self and their esteem for God. If a believer witnessed a person professing no fear and giving no honor to God the believer would at least want to warn them about their candidacy for hell, even if that warning felt smug.",['slippery slope'],[nan],[nan]
259,"The US should adopt stricter gun control legislation, in the form of the policy defined in the background discussion info.Gun control legislation effectively violates the due process clause of the Fifth Amendment of the US Constitution by infringing on the gun rights of millions of Americans without any of them first being accused, tried, or convicted of a crime.",['slippery slope'],[nan],"["" 25\nWe must understand that with every additional gun control measure, violent crime will occur.  And when it does, what will the next law be?  Each new law brings the US closer to an unconstitutional gun registration and eventually confiscation, as nothing will prevent violence with a specific tool without removing that tool from existence.  And when that happens, you'll need guns to enforce this confiscation.\nClick here to see the claims underneath.\n ""]"
260,"Attacks are part of free speech, but they are meaningless in discourse and serve only to distract from the topic at hand. Political correctness dismisses them allowing for meaningful conversation to continue. It doesn't mean that it is illegal to attack another person, only that the attacks will not be allowed to take over the discourse.The problem is that the range of what is considered unacceptable could be as far as one pleases it to be.",['slippery slope'],[nan],"["" People already debate properly. If society was so bankrupt that a debate could not take place because of improper language then there would literally be not a single debate anywhere, and as this site's existence clearly shows, that is not the case.\nClick here to see the claims underneath.\n ""]"
261,"Which is irrelevant to whether deity exist; since logic doesn't entail truth nor does it tell us anything about reality. Logic isn't evidence.If logic itself doesn’t entail truth, then the parent is self defeating. It is attempting to provide a logical argument for why logic doesn’t entail truth.",['fallacy of logic'],[nan],[nan]
262,"Since sound arguments can be made for and against the existence of God, one believes either argument aside from logic and reason. One believes or disbelieves based on what seems reasonable. This kind of belief is called ""entitlement"". It is a perception from experience. Logic itself doesn't entail truth nor proves anything. It's a formal description of how folks think.If logic itself doesn’t entail truth, then the parent is self defeating. It is attempting to provide a logical argument for why logic doesn’t entail truth.",['fallacy of logic'],[nan],[nan]
263,"Morality is objective because moral values can be distilled through reason, and reason is objective.Logical fallacies are a good indication that there are at least some things in this universe, physical or conceptual, that just cannot exist. In this proof by contradiction, that in a purely subjective universe, logical fallacies would only apply some of the time. Since they apply all the time, we can establish that at least some things in the universe are objectively true.",['fallacy of logic'],"[' If we can establish objectivity, and we can discern between good and bad, we therefore have all the ingredients to discern an objective morality.\nClick here to see the claims underneath.\n ']","[' 3\nGood logic is not morally or ethically good. Rather, ""good"" in ""good logic"" means ""consistent, valid, non-fallacious."" There is no objective truth that we should prefer ""good logic"" to ""bad logic"". We prefer it subjectively.']"
264,ChristianityWhile the church always worked to suppress minds like Galileo.. How can we say that it is a religion of science.!!?,['faulty generalization'],[nan],[nan]
265,"People do however claim to interact with GodSuch claims do not meet a burden of proof, and are more likely to be results ritual catharsis, communal reinforcement, soliloquy and in some cases, outright delusion.",['faulty generalization'],[nan],[nan]
266,Polls suggest most American citizens support strict gun control legislation that is enforced fairly.Appealing to popularity is logically problematic.,['faulty generalization'],[nan],[nan]
267,School uniforms enforce stereotypes and gender roles.Many school uniforms look nearly the same for girls and boys.,['faulty generalization'],[nan],[nan]
268,"The Bayesian prior probability of the hypothesis ""The God did it"" for anything attributed to a particular monotheistic ""God"" is less than (<) the hypothesis
 ""some god(s) did it"" < ""some kind of magical creature(s) did it"" < ""Poof! Magic"" < ""hallucination"" < ""someone lied or confabulated"".

Thus ""God"" is a highly specific claim and an extremely unlikely hypothesis for anything, requiring an unmet burden of finding equally unlikely evidence not better explained by alternatives, to prove Him.Because the set of ""some god or gods"" includes any particular ""God"", its prior probability cannot be less than ""The God did it"", for some particular God.",['faulty generalization'],[nan],"[' 25\nIt does not matter what the bodies of evidence are. The probability that one of X gods exists is less than or equal to the probability that at least one of X gods exists or that some god exists. \nP(A or B) = P(A) + P(B) - P(A and B). \nP(A and B) = P(B|A)*P(A) = P(A|B)*P(B)\nP(B|A) <= 1 \nP(A|B) <= 1\nP(A and B) <= min(P(B),P(A)) \nP(A or B) <= P(B) + P(A) - min(P(B),P(A)) \n P(A or B) >= P(B) and P(A or B) >= P(A)\nClick here to see the claims underneath.\n ']"
269,"The Bayesian prior probability of the hypothesis ""The God did it"" for anything attributed to a particular monotheistic ""God"" is less than (<) the hypothesis
 ""some god(s) did it"" < ""some kind of magical creature(s) did it"" < ""Poof! Magic"" < ""hallucination"" < ""someone lied or confabulated"".

Thus ""God"" is a highly specific claim and an extremely unlikely hypothesis for anything, requiring an unmet burden of finding equally unlikely evidence not better explained by alternatives, to prove Him.Because gods are (usually) defined as magical (i.e. supernatural/paranormal/miraculous) anthropomorphic immortals, they are included in the set ""some kind of magical creature"", thus the prior probability of ""some kind of magical creature(s) did it"" cannot be less than ""some god(s) did it"".",['faulty generalization'],[nan],"["" 3\nThe argument is about priors, not posteriors. The order of explanations necessarily falls out of the relative sizes of the sets of explanations in question. \n\nNow, in a particular case, an unlikely explanation on priors may turn out be true, but it takes equally unlikely evidence to prove it. That's not a pointless bureaucratic regulation, it's math.\nClick here to see the claims underneath.\n ""]"
270,Other historical sources back up claims made in the Bible.Other historical sources have confirmed the Bible's depiction of Ancient Israel.,['faulty generalization'],[nan],[nan]
271,The evidence can also be used to show how we have been created.Biogenesis indicates that life comes from life. Abiogenesis has far less support and takes an unknown amount of time. Our assumptions about the age of the Earth are recently scientifically suspect.,['faulty generalization'],[nan],"[' Hastily coming to a conclusion when the science is not yet in, is an error in thinking. Because we do not know something (are ignorant) we cannot then conclude ""God did it"". An assertion that itself has huge problems. We need to do something about our ignorance. This is the fallacy of the argument from ignorance.\nClick here to see the claims underneath.\n ']"
272,"Religious faith promotes unscientific thought.Christianity is founded on the belief in the resurrection of Jesus Christ, while very long term observation of human mortality is evidence that resurrection is impossible.",['faulty generalization'],[nan],[nan]
273,"Scientific thought contradicts religious teachings about the nature of the cosmos.Repeated debunking of theistic claims to phenomenon that has proven to have natural causes, or debunked as historically inaccurate, greatly reduces the credibility of other unproven theistic claims, to the point that such claims are not reasonably justified.",['faulty generalization'],[nan],"["" Anecdotal evidence is inherently unreliable as it suffers from Confirmation Bias, Cognitive Bias, and selective Cherry Picking, potentially for one's own direct benefit. Thus extraordinary claims (such as many theistic claims) require evidence beyond anecdotal accounts if they are to be regarded as true.\nClick here to see the claims underneath.\n ""]"
274,"The Gospels of Matthew and John were written by Matthew the tax collector and John son of Zebedee, disciples of Jesus who were eyewitnesses of his ministry.There are dozens of Christian writings we know of that were falsely attributed to significant figures in Christian tradition, including the Gospel of Peter, the Gospel of Thomas, the Infancy Gospel of Thomas, the Infancy Gospel of James, the Gospel of Nicodemus, the Gospel of Judas, the Gospel of Mary, and many many more. Since falsely attributing writings to apostles was so commonly done, it is likely that the same thing happened for Matthew and John.",['faulty generalization'],[nan],[nan]
275,"School uniforms are expensive.The Department for Education (DfE) found that school uniforms cost almost £230 per pupil in 2019, when data from a 2015 study was adjusted for inflation.",['faulty generalization'],[nan],[nan]
276,"The US should adopt stricter gun control legislation, in the form of the policy defined in the background discussion info.There is no plausible reason for an individual to own military grade guns, that are simply used to kill. Hunting rifles, are acceptable, due to to the fact that they are meant for killing game. Yet there are not used to kill bodies in mass amounts, in a matter of minutes.",['faulty generalization'],[nan],[' 1\nAnti-government organizations often make unfounded claims that gun control legislation empowers totalitarianism and thus should be resisted with violence.\nClick here to see the claims underneath.\n ']
277,Joe Biden is a good president.Biden has not introduced policies that are sufficiently radical to tackle the problems facing America today.,['faulty generalization'],[' The radicalization of the Democratic party is likely to further widen the political divide in American politics.\nClick here to see the claims underneath.\n  1\nRadical policies in American politics can often result in political gridlock. A moderate approach to some issues may prove to be more effective.'],[nan]
278,Cosmological arguments support the existence of God.Cosmological arguments commit the God of the gaps fallacy.,['faulty generalization'],[nan],[nan]
279,"Until feminism actively demonstrates a willingness to eradicate anti-men feminist voices, it will continue to be associated with being anti-men.This is a like hasty generalisation logical fallacy, except worse because it is common knowledge that those feminists are a minority. This is like calling all men rapists because less than 90% of men are trying to stop rape.",['faulty generalization'],[nan],[nan]
280,"Given that the child is unable to offer an opinion either way, the wish of the child's parents is the best proxy for the interests of the child.The child's parents who choose to circumcise are not invested in the interests of their child, they have prioritised their religion or preference as a priority over their child's future wish.",['faulty generalization'],[nan],"["" 13\nIt's rare for circumcision to be recommended for medical reasons in boys.\nClick here to see the claims underneath.\n ""]"
281,"Classical monotheism is incoherent.The typical and very commonly defended definition of God is incoherent, and the words used to describe him have no meaning. There is no understood concept for something to be all powerful, along with all-knowing. How can we determine if there is a possibility for something non-physical to ""exist"" outside of space and time, and somehow have causal influence. The definition doesn't seem coherent, or capable to be reasonably understood. Defense of such a definition would be difficult.",['faulty generalization'],[nan],[nan]
282,"The values appealed to may be subjective values.Even if the values appealed to seem entirely subjective, if they facilitate accurate observation of objective reality, then they must be, at least in part, objective.",['fallacy of logic'],"["" If one values truth subjectively, one will investigate reality in a way that uncovers objective reality or some part of it, whereas this won't be the case if one doesn't value truth subjectively. This doesn't entail that truth itself is objectively valuable.\nClick here to see the claims underneath.\n ""]",[nan]
283,"Hume's ""ought from an is"" problem is specifically focused on what is, (a person doing x) cannot inform on what a person ought to do. To properly use Hume's argument, we could say, ""a person doing x doesn't inform us on whether a person should do x."" But this isn't valid to natural rights since the argument would be, ""A person has x, therefore they ought to be able to use their x for y""A person has a brain, therefore they ought to be able to use their brain for reasoning.",['fallacy of logic'],[nan],[nan]
284,"Hume's ""ought from an is"" problem is specifically focused on what is, (a person doing x) cannot inform on what a person ought to do. To properly use Hume's argument, we could say, ""a person doing x doesn't inform us on whether a person should do x."" But this isn't valid to natural rights since the argument would be, ""A person has x, therefore they ought to be able to use their x for y""A person has eyes, therefore they ought to be able to use their eyes for witnessing.",['fallacy of logic'],[nan],[nan]
285,"Hume's ""ought from an is"" problem is specifically focused on what is, (a person doing x) cannot inform on what a person ought to do. To properly use Hume's argument, we could say, ""a person doing x doesn't inform us on whether a person should do x."" But this isn't valid to natural rights since the argument would be, ""A person has x, therefore they ought to be able to use their x for y""A person can have hands, therefore they ought to be able to use their hands for working",['fallacy of logic'],[nan],[nan]
286,"Whilst playwrights of other nations were better received, British playwrights were generally regarded as having little talent.In 1612, Sir Thomas Bodley, the founder of the famous Bodleian Library argued that ''some plays may be worth the keeping, but hardly one in forty.''",['fallacy of logic'],[nan],[nan]
287,Human life should be valued above animal life in the case that only one can be preserved.Humans are the only ones capable of caring for Earth and resolving the damage they've done.,['fallacy of logic'],[nan],[nan]
288,"Because of the existence of evil, there cannot be a monotheistic God (as traditionally conceived).If God is omnipresent and omnipotent, then evil is a part of him, and he cannot be all good.",['fallacy of logic'],[nan],[nan]
289,"Plantinga's Modal Ontological Argument proves God.[#3] ""If God exists in some possible worlds, then God exists in all possible worlds.""",['fallacy of logic'],[nan],[nan]
290,"Guns did not exist for a long portion of human history, and violence/murder/war did not suddenly spring into being with the invention of guns. By all accounts, the world was far more violent before guns existed than it is now: therefore the claim that violence would disappear if a magic wand were able to get rid of all guns is unarguably false.Humans have a desire to kill which need to be controlled. Having a gun available to use does not mean that those who have them use them intelligently. People don't want to be shot down anywhere and would like to have any measure considered that will prevent this from occurring.",['fallacy of logic'],[nan],[nan]
291,"Something that is not morally acceptable for one person may be morally acceptable for another. Suggesting that eating meat is morally unacceptable completely negates human history and the fact that, at one point, we needed to sustain off of it. However, this is not to say that there aren't more humane ways to treat cattle / livestock.Depending on the moral system used, morality can depend on the situation. Even if eating meat was morally acceptable at some points in human history, it does not necessarily follow that it is morally acceptable to continue eating it today. We are less dependant on meat than we once were, and more able to reasonably replace it.",['fallacy of logic'],[nan],[nan]
292,Pregnant people should have the right to choose abortion.Not all pregnancies are viable and the pregnant woman should be able to choose to end it.,['fallacy of logic'],[nan],[nan]
293,"Epistemic values inform what ought to be logically deduced from premises. Epistemic values of coherence, non-contradiction, deductive validity, etc. (which are generally agreed upon by rational people) inform us that a logical non-sequitur is epistemically impermissible (i.e. irrational).Likewise it is deductive valid to conclude that if you have the ability to speak you therefore have a right to speak.",['fallacy of logic'],"[' If you have the ability to steal, it does not follow that you have a right to steal. Having the ability to do something never alone entails the right to do it.\nClick here to see the claims underneath.\n ']",[nan]
294,"In The Last of Us, the main characters are mostly women. There is not much room to develop them beyond traits that would be considered traditionally masculine, both in terms of physical traits and their 'choices'.If the world of 'The Last of Us' actually came to pass (ie: where brute strength, combat skills, etc were the only way to survive) then the majority of women would find themselves at a huge disadvantage and would more than likely end up as chattel. Games with worlds as implausible as ""The Last of Us"" should thus not be made.",['fallacy of logic'],[nan],[nan]
295,"Sexual orientation is a choice.There is no evidence that sexual orientation is innate, therefore it must be a choice.",['fallacy of logic'],[' 1\nThe human body goes through many physical changes as it ages; the many of the changes are hinged on genetics and unavoidable.'],"["" 5\nRocks are incapable of making choices to begin with. Human's can. Some dogs too. Dogs can change over time by the whim of their will. (Exemple : relationship between Dogs and water)\nClick here to see the claims underneath.\n ""]"
296,"Fine tuning is good evidence for a creator.If God finely tuned the universe, he would have to be finely tuned too. Thus, God doesn't help solve the problem.",['fallacy of logic'],[nan],[nan]
297,Legalisation would increase overall drug use.There is no correlation between the availability of drugs and their frequency of use.,['fallacy of logic'],[nan],[nan]
298,"This argument could be represented: 

1. If groups of people assign an individual that represents their shared goals with infinite power, then belief in God is a consequence of the human desire for power. 
2. Groups of people assign an individual that represents their shared goals with infinite power.
3. Therefore, belief in God is a consequence of the human desire for power. 
4. Therefore, God does not exist!?!

(4) in no way follows as a conclusion and is a non-sequitur.4 Therefore the cause of human belief in God is not God.

Then why should we think God Exists in the first place? Without some just cause for the belief, we would be committing the fallacy of privileging the hypothesis.",['fallacy of logic'],[nan],"[' 2\nThe burden of proof is on those who make the claim in this case the claim is that god exists and this argument is saying there is no reason to believe that.\nClick here to see the claims underneath.\n ', nan]"
299,"Trump did not call the white supremacists or neo-Nazis of the Charlottesville riot ""very fine people.""The transcript of Trump's interview shows that he talked about the clash at the riot and comments that there were 'very fine people on both sides'. This refers to white supremacists as 'very fine people'.",['fallacy of logic'],[nan],[nan]
300,This argument is a logical fallacy. Petitio principii. It begs the question.Only so long as you ignore the lives vaccines have saved,['fallacy of logic'],[nan],[nan]
301,"Belief in God is irrational and unwarranted.There is nothing that cannot be plausibly explained without God. Therefore, we have no need of that hypothesis.",['fallacy of logic'],[' Inductive arguments (if true) only tell us that a conclusion is likely true based on the evidence and rules of inductive reasoning.\nClick here to see the claims underneath.\n '],"[' Strawman summary. The grandparent is a valid statistical syllogism, not an invalid deductive syllogism.\n 3\nPure deductive logic only works in axiomatic systems. In the real world, we have to use inductive reasoning, from the particular to the general case. Demanding that deductive rules be followed for inductive arguments is an error.']"
302,"Infant circumcision means that an adult doesn't have to get circumsized when marrying a spouse from a pious Muslim or Jewish family.Preemptively circumcising everyone with the idea that they won't have to be circumcised later if they decide to marry into certain families seems like a very badly thought out idea. By the same logic, we should also start to baptise everyone on the possibility that they marry into Christian family, feed them only food that is halal and kosher and Hinduists approve, because what if.. And the list goes on.","['fallacy of extension', 'fallacy of logic']",[nan],"["" 5\nThe grandparent doesn't misrepresent, which would be required for a straw man. Valid analogy is not misrepresentation.\nClick here to see the claims underneath.\n  Unclear""]"
303,"There is reasonable evidence supporting the existence of God.Demons exist and can be exorcised. Something more powerful than demons must exist, which is likely God.",['fallacy of logic'],[nan],[nan]
304,"Testimonial evidence supports the existence of God.Demons exist and can be exorcised. Something more powerful than demons must exist, which is likely God.",['fallacy of logic'],[nan],[nan]
305,"There are sound arguments for God.Alvin Plantinga’s Ontological Argument

1. It is possible that a maximally great being exists.
2. If (1) then a maximally great being exists in some possible world.
3. If (2) then it exists in every possible world.
4. If (3) then it exists in the actual world.
5. If (4) then a maximally great being exists.
6. Therefore a maximally great being exists.

Maximal greatness is the property of having maximal excellence (omniscience, omnipotence, omnibenevolence) in every possible world.",['fallacy of logic'],[nan],[' The parent confuses the evidence given for P3 (namely the argument that in order to be maximally great a maximally great being must exist in every possible world (i.e. necessarily)) with the definition of a maximally great being.\nClick here to see the claims underneath.\n ']
306,There is reasonable evidence supporting the existence of God.The complexity and precision found in nature and in living organisms indicate God's existence as the creator of all things.,['fallacy of logic'],[nan],[nan]
307,Teleological arguments support the existence of God.The complexity and precision found in nature and in living organisms indicate God's existence as the creator of all things.,['fallacy of logic'],[nan],[nan]
308,"The God of classical monotheism (omniscient, omnipotent, and omnibenevolent mind) exists.Things (people, places, and things with proper names, like ""God"") that exist have a physical location in time and space. God has no proven physical location in time and space, therefore he does not exist as a ""thing."" He is a concept, not a reality.",['fallacy of logic'],[nan],"[' 1\nIt\'s only a non sequitur if you ignore the other premise in the parent argument; that certain ""things that exist"" must have a physical location to exist, and that God is in that category.\nClick here to see the claims underneath.\n ']"
309,"We need religion for morality.Historically, many aspects of human life have been shaped by religion. Therefore, religion is essential to morality.",['fallacy of logic'],[nan],[nan]
310,"Calling the universe ""God"" because it's the most divine thing in reality is, in keeping with this analogy, like calling president Emmanuel Macron ""the king of France"" because he's the person with the highest political station in France. Holding political power does not make Macron royal, and existing and looking nice does not make the sun divine.If anything is ""Divine,"" then the universe must also be divine. The definition of divine is: ""of, relating to, or proceeding directly from God.""",['fallacy of logic'],[nan],[nan]
311,"God is a figment of human imagination, and is therefore no more real than fire-breathing dragons and pink unicorns. Pre-scientific, pre-industrial people who knew less than we do made up supernatural (i.e. ""fake"") explanations based on superstition which were exaggerated over time.Humans have imagined a great diversity of gods throughout history. But their conceptions are mutually contradictory, so most theists must disbelieve most of them. And monotheists must disbelive in all the others. Is it such a stretch to disbelieve in just one more God when we know all the others are false?",['fallacy of logic'],[nan],"[' Strawman summary. The grandparent is a valid statistical syllogism, not an invalid deductive syllogism.\nClick here to see the claims underneath.\n  3\nPure deductive logic only works in axiomatic systems. In the real world, we have to use inductive reasoning, from the particular to the general case. Demanding that deductive rules be followed for inductive arguments is an error.\n 1\nRegarding point 5: Homo sapiens have wandered this planet for 200,000 - 300,000 years, and the oldest recording of (very primitive) writing is from only circa 3,100 BC. Therefore, we have had the Bible (the written record of God) for about 1.66 - 2.5% of our total existence. Who was God before then?']"
312,"Pleasure is an end in itself, and premarital sex is pleasurable.Under this view, if unlimited pleasure were available at the expense of other benefits (like virtuous behavior, helping others, etc.) then it would be rational to take it. As such a decision is very plausibly not rational, it follows that pleasure is not sufficient and may need to be diminished that another value may be pursued.",['fallacy of logic'],[nan],[nan]
313,"The climate is known to exhibit chaotic behavior and as such it is difficult to link cause and effect.The fact that the climate system exhibits chaotic behavior makes it more important, not less, to avoid changing input conditions such as atmospheric greenhouse gas levels.",['fallacy of logic'],[nan],[nan]
314,"Criminals can exercise free will while still being in need of rehabilitation.""Free will"" means that if a person acts in an anti-social way, that person has voluntarily chosen wrongdoing. This is not compatible with the view that their decision-making faculties are damaged and in need of repair. In the latter view, there is no free will involved, as choices are made by the deterministic program running in the brain, which is deemed defective and has to be rewritten.",['fallacy of logic'],[nan],[nan]
315,Studies on the weapon effect have shown that access to weapons leads to more violent behaviour.The presence of guns increases aggression.,['fallacy of logic'],[nan],[nan]
316,"The definition of militia includes ""the whole body of able-bodied male citizens declared by law as being subject to call to military service.""If one were to use this definition in the context of the 2nd amendment, carrying guns would have nothing to do with well-regulated militias and the amendment would be a non-sequitur.",['fallacy of logic'],[nan],[nan]
317,We've given billions of doses of vaccines over decades and watched the effects on people. It's a bunch of really good data.If it were not a net positive it wouldn't be continued.,['fallacy of logic'],[nan],[nan]
318,Churches in the United States should lose their automatic tax-exempt status.Government itself is a form of religion.,['fallacy of logic'],[nan],[nan]
319,"Skin pigmentation is not sexual characteristic. Breasts are a secondary sexual characteristic and have different biological and evolutionary drivers.A secondary sexual characteristic is simply one carried on the genes primary responsible for determining one's sex. Height is in part a secondary sexual characteristic, but it's hard to argue we should disguise that.",['fallacy of logic'],[nan],[nan]
320,"There already exists court-tested practices that protect free speech while ensuring the rights of others aren't impinged due to threats and abuse. Introducing such safe zones for the protection of innocent victims from abuse and the preservation of free speech is not only exceedingly reasonable, it is morally responsible.""Safe Zones"" is an ill defined word, has nothing to do with ""free speech zones"" and currently has NO legal basis.",['fallacy of logic'],[nan],[nan]
321,"Morality derives from God, which means it metaphysically depends on religion.While it is often accepted that humans have their own innate capacity to determine right/wrong, this morality must have a deeper basis. Morality only truly makes sense in a theist setting. Without a creator, the universe is a result of random chance, and therefore all actions are simply down to chaos, and nothing is right or wrong.","['intentional', 'fallacy of logic']","[nan, "" 1\nWe can found ethics on a whole slew of things such as the social contract/human nature, emergent properties of our brain/minds, utilitarian principles or even natural moral laws (the latter is certainly difficult without a creator, but not impossible). Though religion was one way we have justified ethics in the past, it's not the only way.""]","[' Morality is possessed only by sentient beings who have the ability to define, in words, the correct decision one must make in a situation. The desire to ""not die"" is better defined as a reflex and cannot rightly be called moral. Morality suggests that passing on genes is not the primary goal of life.\nClick here to see the claims underneath.\n ', ' This is not necessarily a ""god of the gaps fallacy."" If there is no revelation of such a god, then sure, call it a fallacy. But the fact is that we have a document that claims it\'s source is the same creator god who formed the universe and the natural and moral laws that govern it. To believe this document is not to automatically believe a fallacy. In fact, a reasonable person would explore the veracity of such a document without dismissing it outright.\nClick here to see the claims underneath.\n ']"
322,"The existence of a singular monotheistic God who did not match the definition of the God of classical theism would mean the null hypothesis of this debate was true, but atheism was still false.A god who was not all powerful or all knowing would not conceivably be able to cause everything - there would be a more powerful force and a more perplexing existence than that god. This would not answer the question of origins at all but just bring up the same old questions.",['fallacy of logic'],[nan],"["" 6\nUnless some standard is defined, everything is a non sequitur. One cannot set aside attempts to find a standard from which to judge and then in the next breath judge that something is out-of-bounds. Either there is some standard by which to find order, or, if there isn't, no one can be faulted for speaking out-of-turn.\nClick here to see the claims underneath.\n "", "" Unless some standard is defined, everything is a non sequitur. One cannot set aside attempts to find a standard from which to judge and then in the next breath judge that something is out-of-bounds. Either there is some standard by which to find order, or, if there isn't, no one can be faulted for speaking out-of-turn.\nClick here to see the claims underneath.\n ""]"
323,"Our predisposition to believe in God is pathological. The most common themes in the world's religions are literally pre-programmed.Religions throughout the world share many common themes: empathy, charity, selflessness, mindfulness, community, responsibility and awareness. Enough to argue that they came first from the minds of the human race, not any deity.",['fallacy of logic'],[nan],[nan]
324,"The God of classical monotheism (omniscient, omnipotent, and omnibenevolent mind) exists.Science admits infinity, yet it cannot comprehend it. Science admits eternity, yet it cannot comprehend it. Science claims that ALL things have an explanation, yet there are many more things that cannot be explained than the explainable. There must be cause, effect and... purpose for all things to exist. Therefore, God necessarily must exist.",['fallacy of logic'],[nan],[nan]
325,"It is true that antigenic drift would occur absent vaccination. However, this overlooks the fact that the immunity conferred by natural infection with influenza offers stronger protection than the immunity conferred by the vaccine. Specifically, the vaccine triggers a strong TH2 response while natural infection confers also a TH1 immunity that protects not only against the infecting strain, but other viral variants as well.ncbi.nlm.nih.govIn cases where lack of immunity = death e.g. tetanus then why rely on your innate immune system...vaccination although not as robust as natural immunity can prevent death...hence is beneficial.",['fallacy of logic'],[nan],"[' Can tetanus kill you? (Mortality rate between 25%-50%...WITH intensive treatment) Can your immune system alone prevent mortality, see above mortality rate. Therefore is it a fallacy to propose that some diseases cannot be adequately treated by the immune system alone? No. To prove my statement false, would you be willing to cut your finger on a dirty rusty nail, to test how well your immune system performs against tetanus without vaccination? If not, then I have committed no fallacy. Try again.\nClick here to see the claims underneath.\n  Not a claim\nAppears to be a comment on the parent rather than a countering argument?']"
