,Unnamed: 0,source_article,logical_fallacies,masked_articles
202,202,The difference between recorded temperatures and reported temperatures has been slowly rising in recent years .,['intentional'],The difference between recorded temperatures and reported temperatures has been slowly rising in recent years .
203,203,It is projected to rise another one to four by 2100 .,['intentional'],It is projected to rise another one to four by 2100 .
204,204,"A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 .",['intentional'],"A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 ."
205,205,Some of Dr Soon ’ s work is paid for by oil companies who clearly have a vested interest in making the blame for global warming fall elsewhere .,['intentional'],Some of Dr Soon ’ s work is paid for by oil companies who clearly have a vested interest in making the blame for global warming fall elsewhere .
206,206,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",['ad populum'],"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent ."
207,207,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period . Some scientists believe that solar activity is more likely to influence today ’ s climate than carbon dioxide , and Dr Soon has compiled data showing temperature in America , Canada and Mexico rises and falls in line with solar activity .",['false causality'],"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period . Some scientists believe that solar activity is more likely to influence today ’ s climate than carbon dioxide , and Dr Soon has compiled data showing temperature in America , Canada and Mexico rises and falls in line with solar activity ."
208,208,"And , can today ’ s climate models be trusted when scientists have misrepresented the data in the past ?",['intentional'],"And , can today ’ s climate models be trusted when scientists have misrepresented the data in the past ?"
209,209,"CLIMATE change in Antarctica may be linked to a never-before-seen island emerging from the ocean , experts have said . The uncharted island is actually big enough to spot from space but may have gone unnoticed due to previously being hidden beneath a lot of ice , a Nature report suggests .",['false causality'],"CLIMATE change in Antarctica may be linked to a never-before-seen island emerging from the ocean , experts have said . The uncharted island is actually big enough to spot from space but may have gone unnoticed due to previously being hidden beneath a lot of ice , a Nature report suggests ."
210,210,"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims .","['false causality', 'fallacy of credibility']","Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims ."
211,211,"Rebounding ground can accelerate the ice cracking and falling away , which may be what happened with this new island that potentially emerged off the coast of Antarctica around 2010 .",['false causality'],"Rebounding ground can accelerate the ice cracking and falling away , which may be what happened with this new island that potentially emerged off the coast of Antarctica around 2010 ."
212,212,"According to Nature News , experts are n't sure how long the island has been visible but they think climate change may be behind its appearance .",['false causality'],"According to Nature News , experts are n't sure how long the island has been visible but they think climate change may be behind its appearance ."
213,213,"The slowdown in warming was , she added , real , and all the evidence suggested that since 1998 , the rate of global warming has been much slower than predicted by computer models – about 1C per century .",['fallacy of logic'],"The slowdown in warming was , she added , real , and all the evidence suggested that since 1998 , the rate of global warming has been much slower than predicted by computer models – about 1C per century ."
214,214,Global average temperatures over land have plummeted by more than 1C since the middle of this year – their biggest and steepest fall on record .,"['intentional', 'intentional']",Global average temperatures over land have plummeted by more than 1C since the middle of this year – their biggest and steepest fall on record .
215,215,"But it is almost certain that next year , large falls will also be measured over the oceans , and by weather station thermometers on the surface of the planet – exactly as happened after the end of the last very strong El Nino in 1998 .",['faulty generalization'],"But it is almost certain that next year , large falls will also be measured over the oceans , and by weather station thermometers on the surface of the planet – exactly as happened after the end of the last very strong El Nino in 1998 ."
216,216,The news comes amid mounting evidence that the recent run of world record high temperatures is about to end .,"['intentional', 'intentional']",The news comes amid mounting evidence that the recent run of world record high temperatures is about to end .
217,217,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans .","['fallacy of relevance', 'intentional', 'faulty generalization']","Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."
218,218,Dr Schmidt also denied that there was any ‘ pause ’ or ‘ hiatus ’ in global warming between the 1998 and 2015 El Ninos .,['intentional'],Dr Schmidt also denied that there was any ‘ pause ’ or ‘ hiatus ’ in global warming between the 1998 and 2015 El Ninos .
219,219,"Whitehouse , a scientist who works with Lord Lawson ’ s sceptic Global Warming Policy Foundation , said the massive fall in temperatures following the end of El Nino meant the warming hiatus or slowdown may be coming back .",['faulty generalization'],"Whitehouse , a scientist who works with Lord Lawson ’ s sceptic Global Warming Policy Foundation , said the massive fall in temperatures following the end of El Nino meant the warming hiatus or slowdown may be coming back ."
220,220,"This also has worldwide impacts , driving temperatures down rather than up .",['intentional'],"This also has worldwide impacts , driving temperatures down rather than up ."
221,221,"‘ According to the satellites , the late 2016 temperatures are returning to the levels they were at after the 1998 El Nino .",['intentional'],"‘ According to the satellites , the late 2016 temperatures are returning to the levels they were at after the 1998 El Nino ."
222,222,"“ We indicated 23 years ago — in our 1994 Nature article — that climate models had the atmosphere ’ s sensitivity to CO2 much too high , ” Christy said in a statement . “ This recent paper bolsters that conclusion . ”",['fallacy of credibility'],"“ We indicated 23 years ago — in our 1994 Nature article — that climate models had the atmosphere ’ s sensitivity to CO2 much too high , ” Christy said in a statement . “ This recent paper bolsters that conclusion . ”"
223,223,"Those eruptions meant there was more subsequent warming in the following years , making the rate of warming appear to be rising as a result of man-made emissions or other factors , Christy said .",['equivocation'],"Those eruptions meant there was more subsequent warming in the following years , making the rate of warming appear to be rising as a result of man-made emissions or other factors , Christy said ."
224,224,"While many scientists have acknowledged the mismatch between model predictions and actual temperature observations , few have really challenged the validity of the models themselves .",['fallacy of logic'],"While many scientists have acknowledged the mismatch between model predictions and actual temperature observations , few have really challenged the validity of the models themselves ."
225,225,"Americans receive a daily barrage from the fake news media and climate “ experts ” reporting that each and every day , week , month or year is the hottest on record due to global warming .","['ad hominem', 'fallacy of extension']","Americans receive a daily barrage from the fake news media and climate “ experts ” reporting that each and every day , week , month or year is the hottest on record due to global warming ."
226,226,"Sadly , these supposed experts use mathematical equations that do not jive with reality over the past 140 years .","['ad hominem', 'fallacy of logic']","Sadly , these supposed experts use mathematical equations that do not jive with reality over the past 140 years ."
227,227,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today .","['false dilemma', 'ad populum', 'intentional']","The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."
228,228,"We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull .","['appeal to emotion', 'fallacy of credibility']","We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull ."
229,229,"Once again , the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels .","['fallacy of relevance', 'fallacy of relevance']","Once again , the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels ."
230,230,"However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase .","['fallacy of relevance', 'fallacy of logic']","However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase ."
231,231,The idea that climate change is producing heat records across the Earth is among the most egregious manipulations of data in the absurd global warming debate .,['fallacy of logic'],The idea that climate change is producing heat records across the Earth is among the most egregious manipulations of data in the absurd global warming debate .
232,232,Many of these fear mongers also say we should stop burning fossil fuels that are causing this mayhem .,['ad hominem'],Many of these fear mongers also say we should stop burning fossil fuels that are causing this mayhem .
233,233,Is the Earth truly experiencing the hottest weather on record ? Absolutely not .,['fallacy of logic'],Is the Earth truly experiencing the hottest weather on record ? Absolutely not .
234,234,"These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .",['ad hominem'],"These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder ."
235,235,"The coldest temperature ever reported was minus 129 degrees Fahrenheit in Vostok , Antarctica , in 1983 when Carbon dioxide emissions were five times higher than in 1913 . The coldest temperature in the lower 48 states ( excluding Alaska ) of minus 64 degrees Fahrenheit was recorded in 1996 in Embarrass , Minnesota .",['ad populum'],"The coldest temperature ever reported was minus 129 degrees Fahrenheit in Vostok , Antarctica , in 1983 when Carbon dioxide emissions were five times higher than in 1913 . The coldest temperature in the lower 48 states ( excluding Alaska ) of minus 64 degrees Fahrenheit was recorded in 1996 in Embarrass , Minnesota ."
236,236,These examples all illustrate that cherry-picking record high temperatures in isolated locations tells absolutely nothing about the Earth ’ s climate .,['intentional'],These examples all illustrate that cherry-picking record high temperatures in isolated locations tells absolutely nothing about the Earth ’ s climate .
237,237,"The strongest heat wave ever recorded occurred in July 1936 , generating high temperatures in half of America ’ s 50 states . In 1935 , fossil fuel emissions were 25 times lower than today .",['false causality'],"The strongest heat wave ever recorded occurred in July 1936 , generating high temperatures in half of America ’ s 50 states . In 1935 , fossil fuel emissions were 25 times lower than today ."
238,238,"Interesting that the figure above shows the most severe historic cold wave during the past century took place in 1936 , which was the same year when the strongest heat wave took place .",['false causality'],"Interesting that the figure above shows the most severe historic cold wave during the past century took place in 1936 , which was the same year when the strongest heat wave took place ."
239,239,"However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase . This is totally consistent with variations in the amount of heat the Earth receives from the Sun .",['false causality'],"However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase . This is totally consistent with variations in the amount of heat the Earth receives from the Sun ."
240,240,"These facts are completely supported by 4,000 ocean floats which measure ocean temperatures at a variety of depths .",['fallacy of relevance'],"These facts are completely supported by 4,000 ocean floats which measure ocean temperatures at a variety of depths ."
241,241,Isn ’ t it time to start ignoring the calamitous annual claims that this is the hottest year on record ?,['fallacy of credibility'],Isn ’ t it time to start ignoring the calamitous annual claims that this is the hottest year on record ?
242,242,"Did the Earth experience its hottest temperature ever this year ? The answer is no . The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today .",['intentional'],"Did the Earth experience its hottest temperature ever this year ? The answer is no . The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."
243,243,"In 2007 , with the aid of scientists such as Wieslaw Maslowski and Peter Wadhams , the BBC and others were telling us that the Arctic would be totally “ ice free by 2013 ” ( the Independent even cleared its front page to announce that the ice could all have disappeared within weeks ) . By 2011 , the BBC ’ s science editor Richard Black was telling us that the ice would “ probably be gone within this decade ” . In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than “ at any time since satellite records began ” .",['intentional'],"In 2007 , with the aid of scientists such as Wieslaw Maslowski and Peter Wadhams , the BBC and others were telling us that the Arctic would be totally “ ice free by 2013 ” ( the Independent even cleared its front page to announce that the ice could all have disappeared within weeks ) . By 2011 , the BBC ’ s science editor Richard Black was telling us that the ice would “ probably be gone within this decade ” . In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than “ at any time since satellite records began ” ."
244,244,"Al Gore , set out to paddle a kayak to the North Pole – only to have to abort his trip after a few days because “ the ice was too thick ” . In 2009 , the three-man Caitlin expedition , sponsored by a “ climate risk ” insurance company , and backed by the BBC and the Prince of Wales , set out to walk to the North Pole . Their intention was to measure the thickness of the vanishing ice with an electronic instrument , but it froze so hard that they had to resort to a tape measure . Again , after a few weeks , they had to be airlifted back to a rescue ship because the constantly shifting ice was “ too thick ” .",['intentional'],"Al Gore , set out to paddle a kayak to the North Pole – only to have to abort his trip after a few days because “ the ice was too thick ” . In 2009 , the three-man Caitlin expedition , sponsored by a “ climate risk ” insurance company , and backed by the BBC and the Prince of Wales , set out to walk to the North Pole . Their intention was to measure the thickness of the vanishing ice with an electronic instrument , but it froze so hard that they had to resort to a tape measure . Again , after a few weeks , they had to be airlifted back to a rescue ship because the constantly shifting ice was “ too thick ” ."
245,245,But wasn ’ t the whole point of this warming that it was meant to be “ global ” ?,['intentional'],But wasn ’ t the whole point of this warming that it was meant to be “ global ” ?
246,246,Two events last week brought yet further twists to one of the longest-running farces of our modern world .,['ad hominem'],Two events last week brought yet further twists to one of the longest-running farces of our modern world .
247,247,"One was the revelation by the European Space Agency that in 2013 and 2014 , after years when the volume of Arctic ice had been diminishing , it increased again by as much as 33 per cent . The other was that Canadian scientists studying the effect of climate change on Arctic ice from an icebreaker had to suspend their research , when their vessel was called to the aid of other ships trapped in the thickest summer ice seen in Hudson Bay for 20 years .",['intentional'],"One was the revelation by the European Space Agency that in 2013 and 2014 , after years when the volume of Arctic ice had been diminishing , it increased again by as much as 33 per cent . The other was that Canadian scientists studying the effect of climate change on Arctic ice from an icebreaker had to suspend their research , when their vessel was called to the aid of other ships trapped in the thickest summer ice seen in Hudson Bay for 20 years ."
248,248,"In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than “ at any time since satellite records began ” .",['intentional'],"In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than “ at any time since satellite records began ” ."
249,249,"In December 2013 , the world followed agog the plight of yet another “ scientific expedition ” , when 52 climate activists , accompanied by reporters from the BBC and the Guardian , sailed into the Antarctic to measure the effects of global warming on its sea-ice . By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away .",['intentional'],"In December 2013 , the world followed agog the plight of yet another “ scientific expedition ” , when 52 climate activists , accompanied by reporters from the BBC and the Guardian , sailed into the Antarctic to measure the effects of global warming on its sea-ice . By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away ."
250,250,"By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away .",['intentional'],"By Christmas their ship was so dangerously trapped by thick , multi-year ice that they had to be helicoptered to a Chinese ship 10 miles away , which itself then got so trapped in ice that they had to be airlifted again to two other ships even further away ."
251,251,"But , alas , it just isn ’ t happening .",['intentional'],"But , alas , it just isn ’ t happening ."
252,252,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .,['intentional'],In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .
253,253,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades .",['intentional'],"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades ."
254,254,The greatest scare story of all simply isn ’ t turning out as their computer models predicted .,['intentional'],The greatest scare story of all simply isn ’ t turning out as their computer models predicted .
255,255,A synthesis of more than 350 publications on the effects of ocean acidification - which will be given to climate delegates at next month 's summit - reveals that almost half of the marine animal species tested reacted negatively to already moderate increases in seawater CO2 concentrations .,['faulty generalization'],A synthesis of more than 350 publications on the effects of ocean acidification - which will be given to climate delegates at next month 's summit - reveals that almost half of the marine animal species tested reacted negatively to already moderate increases in seawater CO2 concentrations .
256,256,"For the past 500 million years , the atmospheric carbon dioxide content has been decreasing and if we halved today ’ s atmospheric carbon dioxide content , all life would die .",['false dilemma'],"For the past 500 million years , the atmospheric carbon dioxide content has been decreasing and if we halved today ’ s atmospheric carbon dioxide content , all life would die ."
257,257,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .",['fallacy of relevance'],"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total ."
258,258,"If we were so passionately concerned about our carbon footprint , then the best thing to do is to expire .","['false dilemma', 'fallacy of logic']","If we were so passionately concerned about our carbon footprint , then the best thing to do is to expire ."
259,259,"In our lifetime , there has been no correlation between carbon dioxide emissions and temperature .",['false causality'],"In our lifetime , there has been no correlation between carbon dioxide emissions and temperature ."
260,260,"On a larger scale , the ice caps show that after a natural orbitally driven warming , atmospheric carbon dioxide content increases 800 years later . Rather than atmos­pheric carbon dioxide driving temperature , it is the opposite .",['false causality'],"On a larger scale , the ice caps show that after a natural orbitally driven warming , atmospheric carbon dioxide content increases 800 years later . Rather than atmos­pheric carbon dioxide driving temperature , it is the opposite ."
261,261,Geology shows us again there is no correlation between atmospheric carbon dioxide and temperature . Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present .,['false causality'],Geology shows us again there is no correlation between atmospheric carbon dioxide and temperature . Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present .
262,262,"The attack on emissions of the gas of life is an irrational attack on industry , our modern way of life , freedoms and prosperity .","['appeal to emotion', 'fallacy of extension']","The attack on emissions of the gas of life is an irrational attack on industry , our modern way of life , freedoms and prosperity ."
263,263,"By ignoring history and geology , any claim of unusual weather can be made sensational .",['intentional'],"By ignoring history and geology , any claim of unusual weather can be made sensational ."
264,264,The geological history of the planet shows major planetary climate changes have never been driven by a trace gas . Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,['fallacy of credibility'],The geological history of the planet shows major planetary climate changes have never been driven by a trace gas . Just because we are alive today does not mean we change major planetary systems that operated for billions of years .
265,265,"These processes involve a transfer of energy , and water vapour makes the atmosphere behave like a giant airconditioner .",['fallacy of logic'],"These processes involve a transfer of energy , and water vapour makes the atmosphere behave like a giant airconditioner ."
266,266,Water is 12 times more effective than carbon dioxide with respect to all incoming and outgoing radiation .,['ad populum'],Water is 12 times more effective than carbon dioxide with respect to all incoming and outgoing radiation .
267,267,"In the past , warming has never been a threat to life on Earth . Why should it be now ?","['fallacy of credibility', 'faulty generalization']","In the past , warming has never been a threat to life on Earth . Why should it be now ?"
268,268,We are not living in a period of catastrophic climate change . The past tells us it ’ s business as usual .,['fallacy of credibility'],We are not living in a period of catastrophic climate change . The past tells us it ’ s business as usual .
269,269,It has never been shown that human emissions of carbon dioxide drive global warming .,"['intentional', 'intentional']",It has never been shown that human emissions of carbon dioxide drive global warming .
270,270,"Carbon dioxide is plant food . It is neither a pollutant nor a toxin . Without carbon dioxide , all life on Earth would die .",['fallacy of extension'],"Carbon dioxide is plant food . It is neither a pollutant nor a toxin . Without carbon dioxide , all life on Earth would die ."
271,271,The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .,['false causality'],The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .
272,272,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .,['fallacy of relevance'],The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .
273,273,"When there is a low atmospheric carbon dioxide content , especially during very cold times , life struggles .",['equivocation'],"When there is a low atmospheric carbon dioxide content , especially during very cold times , life struggles ."
274,274,"As soon as the words carbon footprint , emissions , pollution , and decarbonisation , climate emergency , extreme weather , unprecedented and extinction are used , I know I am being conned by ignorant activ­ists , populist scaremonger­ing , vote-chasing politicians and rent seekers .",['ad hominem'],"As soon as the words carbon footprint , emissions , pollution , and decarbonisation , climate emergency , extreme weather , unprecedented and extinction are used , I know I am being conned by ignorant activ­ists , populist scaremonger­ing , vote-chasing politicians and rent seekers ."
275,275,"There are no carbon emissions . If there were , we could not see because most carbon is black .",['fallacy of logic'],"There are no carbon emissions . If there were , we could not see because most carbon is black ."
276,276,We ’ ve had reefs on planet Earth for 3500 million years . They came and went many times .,['equivocation'],We ’ ve had reefs on planet Earth for 3500 million years . They came and went many times .
277,277,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,['false dilemma'],Just because we are alive today does not mean we change major planetary systems that operated for billions of years .
278,278,Carbon dioxide is plant food . It is neither a pollutant nor a toxin .,['false dilemma'],Carbon dioxide is plant food . It is neither a pollutant nor a toxin .
279,279,"The study was “ very nicely done , ” she said , but the tendency of wet soils to produce methane could be counteracted by several factors .",['fallacy of credibility'],"The study was “ very nicely done , ” she said , but the tendency of wet soils to produce methane could be counteracted by several factors ."
280,280,Now even that silver lining is in doubt .,['appeal to emotion'],Now even that silver lining is in doubt .
281,281,"Some experts , such as UN climate scientist Dr. Indur Goklany , have defended rising CO2 levels as a good thing for humanity . Goklany has argued that the rising level of carbon dioxide in the earth ’ s atmosphere “ is currently net beneficial for both humanity and the biosphere generally . ”",['fallacy of credibility'],"Some experts , such as UN climate scientist Dr. Indur Goklany , have defended rising CO2 levels as a good thing for humanity . Goklany has argued that the rising level of carbon dioxide in the earth ’ s atmosphere “ is currently net beneficial for both humanity and the biosphere generally . ”"
282,282,"Despite recent attempts to paint the United States as a major global polluter , according to the World Health Organization ( WHO ) , the U.S. is among the cleanest nations on the planet . In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population .",['fallacy of credibility'],"Despite recent attempts to paint the United States as a major global polluter , according to the World Health Organization ( WHO ) , the U.S. is among the cleanest nations on the planet . In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population ."
283,283,"With such relatively clean air throughout America , how can even reputable news agencies like Reuters continue spreading the well-worn lie that the United States is one of the “ biggest polluters ” in the world ? Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .","['intentional', 'false dilemma']","With such relatively clean air throughout America , how can even reputable news agencies like Reuters continue spreading the well-worn lie that the United States is one of the “ biggest polluters ” in the world ? Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide ."
284,284,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .,"['fallacy of logic', 'intentional']",The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .
285,285,"Without human intervention , the concentration of CO2 has climbed as high as 7,000 parts per million ( ppm ) in prior eras , whereas at present the concentration is just over 400 ppm .",['ad populum'],"Without human intervention , the concentration of CO2 has climbed as high as 7,000 parts per million ( ppm ) in prior eras , whereas at present the concentration is just over 400 ppm ."
286,286,"CO2 is colorless , odorless and completely non-toxic . Plants depend on it to live and grow , and human beings draw some into their lungs with every breath they take to no ill effect whatsoever .","['fallacy of relevance', 'fallacy of logic']","CO2 is colorless , odorless and completely non-toxic . Plants depend on it to live and grow , and human beings draw some into their lungs with every breath they take to no ill effect whatsoever ."
287,287,"At the very low end of the spectrum , the United States has a concentration of just 8 , while China has a concentration more than seven times higher at 59 , India at 66 , Egypt at 101 and Saudi Arabia with the worst air pollution at 127 .",['fallacy of relevance'],"At the very low end of the spectrum , the United States has a concentration of just 8 , while China has a concentration more than seven times higher at 59 , India at 66 , Egypt at 101 and Saudi Arabia with the worst air pollution at 127 ."
288,288,"In a recent list of the 25 cleanest cities in the world , the only country to boast three cities among the cleanest on the planet was the United States of America , with Chicago coming in second place , Honolulu coming in fourth , and Portland , OR , coming in sixteenth . Unsurprisingly , no cities from China , Russia or India made the list at all . Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .",['fallacy of relevance'],"In a recent list of the 25 cleanest cities in the world , the only country to boast three cities among the cleanest on the planet was the United States of America , with Chicago coming in second place , Honolulu coming in fourth , and Portland , OR , coming in sixteenth . Unsurprisingly , no cities from China , Russia or India made the list at all . Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India ."
289,289,"Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India .","['ad hominem', 'ad hominem']","Similarly , another list of the 15 most polluted cities in the world featured three cities from China , three cities from Saudi Arabia , and a whopping seven cities from India ."
290,290,The list of the most polluted cities in the world was led by two cities from China followed by two more cities from India .,['ad hominem'],The list of the most polluted cities in the world was led by two cities from China followed by two more cities from India .
291,291,"Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide .",['ad hominem'],"Rather than follow the time-tested practice used by the World Health Organization , which measures levels of disease-causing pollutants that get into people ’ s lungs , some have played a shell game , swapping a new measure of “ pollution ” based solely on emissions of carbon dioxide ."
292,292,"In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population .",['fallacy of relevance'],"In the most recent WHO report on air pollution , the United States was listed as one of the countries with the cleanest air in the world , significantly cleaner in fact than the air in Germany , Italy , Switzerland , the UK , Japan , Austria and France . While France and other G7 countries lamented the U.S. exit from the Paris climate accord , America ’ s air is already cleaner than that of any other country in the G7 , except Canada with its scant population ."
293,293,"Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years .","['intentional', 'fallacy of relevance', 'fallacy of credibility']","Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years ."
294,294,"On a global scale , as scientists keep confirming , there has been no increase in frequency or intensity of storms , floods or droughts , while deaths attributed to such natural disasters have never been fewer , thanks to modern technology and infrastructure .","['fallacy of relevance', 'intentional']","On a global scale , as scientists keep confirming , there has been no increase in frequency or intensity of storms , floods or droughts , while deaths attributed to such natural disasters have never been fewer , thanks to modern technology and infrastructure ."
295,295,"It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest .",['intentional'],"It can not be what is happening to world temperatures , because they have gone up only very slowly , less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest ."
296,296,"Even with this year ’ s El Niño-boosted warmth threatening to break records , the world is barely half a degree Celsius ( 0.9 degrees Fahrenheit ) warmer than it was about 35 years ago .",['intentional'],"Even with this year ’ s El Niño-boosted warmth threatening to break records , the world is barely half a degree Celsius ( 0.9 degrees Fahrenheit ) warmer than it was about 35 years ago ."
297,297,Sea level continues its centuries-long slow rise—about a foot a century—with no sign of recent acceleration .,['intentional'],Sea level continues its centuries-long slow rise—about a foot a century—with no sign of recent acceleration .
298,298,"In February President Obama said , a little carelessly , that climate change is a greater threat than terrorism .",['intentional'],"In February President Obama said , a little carelessly , that climate change is a greater threat than terrorism ."
