,text,types of fallacy
953,"The parent approaches Bayesian priors as if they are calculated once. One's calculation of the Bayesian probability for God's existence is conducted over and over again throughout their life. Thus, the prior probability one approaches this question with will continue to increase or decrease based on experiences with evidence.Hence, it is not true that Their beliefs are much better explained by childhood indoctrination.",['ad hominem']
832,"Evolution does not explain the existence of morals.Hence, it is not true that Simply because an explanation is not currently available does not mean there isn't one. The concept of evolutionary ethics develops as our understanding of evolution does and is therefore subject to changes and cannot be discounted until its irrelevancy is proven beyond a reasonable doubt.",['false causality']
1166,"The phrase is undermined because the criteria to determine what constitutes extraordinary evidence is unclear or nonsense.Hence, it is true that Evidence is evidence. There are no different kinds of evidence. If a theory is supported by evidence then it is supported. If evidence contradicts a theory then it needs to be thrown away. But there is no requirement for any special kind of evidence.",['fallacy of extension']
773,"PC culture becoming mainstream has lead to the formation of a counter PC culture that seeks to undermine and refute PC culture by any means necessary regardless of possible impact to their local communities and the people within them.Hence, it is true that PC is used by anti-PC people as a slanderous term for a noble action.",['ad hominem']
824,"Greta Thunberg's approach to activism is too emotional to create meaningful discussion or effective change.Hence, it is not true that Thunberg's emotionality is preferable to climate change apathy from world leaders(Greta Thunberg has attacked world leaders for their “betrayal” of young people through their apathy over the climate crisis.) - which is what angers her.",['appeal to emotion']
539,"Charles Darwin believed there were many races and that his theory of evolution backed up the caucasian race being superior, as laid out in ""On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life,"" and more in depth in ""The Descent of Man,"" but no one would reasonably claim that every evolutionist practicing today is tainted by using any of Darwin's work as a source.Hence, it is not true that The problem being alleged in this discussion with Murray's work isn't that he also holds racist beliefs. It's that his work relies on scientifically indefensible racist sources. Analogizing this critique with the fact that Darwin personally held racist and sexist believes is therefore almost certainly a red herring.",['tu quoque']
229,"Religion has a negative impact on economic development.Hence, it is true that Typically, in the 20th century secularization predated economic development.",['false causality']
1186,"Science and religion can coexist because they do not need to make conflicting claims.Hence, it is not true that Many religious faiths directly contradict scientific facts.",['fallacy of logic']
192,"We exist within a simulated reality.Hence, it is not true that The concept of our reality being simulated is nonsensical or unintelligible.",['intentional']
353,"It is impossible to avoid using arguments and evidence to support our beliefs. The only question is if we will use valid proof) or become a slave to irrationality, logical fallacy, errors, and prejudice.Hence, it is true that Arguments are evidence that the previous statement is or isn't logically sound. So it is beyond stupid to argue against basing your conclusion on proof because your argument will rely on what you are trying to destroy. You have already wasted your credibility by appealing to logic, a type of evidence.",['fallacy of extension']
903,"Randomizing funding may not address the socio-economic inequities that generate bias and inadequate representation in scientific research.Hence, it is not true that Randomized funding may or may not be the solution for certain problems, but if it does solve certain problems, that is no reason to abandon randomized funding.",['false dilemma']
742,"Circumcision violates body autonomy.Hence, it is not true that The vast majority of developed countries have laws granting parents almost absolute autonomy in regards to making choices for their children \(excluding criminal abuse of course\).",['ad populum']
444,"Fine tuning is good evidence for a creator.Hence, it is not true that If God finely tuned the universe, he would have to be finely tuned too. Thus, God doesn't help solve the problem.",['fallacy of logic']
592,"The Quran makes reference to Jinni, but no such entities have been demonstrated to exist.Hence, it is not true that The Quran makes reference to Jinn on multiple occasions, but never states or even implies that these creatures are subject to demonstration in classical and traditional Islamic scholarship.",['fallacy of extension']
194,"\#2\ ""God exists as an idea in the mind.""Hence, it is not true that That someone has an idea of X does not imply that X exists \(as an idea\).",['equivocation']
294,"It is consistent to hold the view that God as traditionally conceived exists and that God is not the author of evil.Hence, it is not true that The monotheistic Judeo-Christian God is recorded to have submitted threats, committed acts of violence, and otherwise promote evil at the expense of moral goodness.",['fallacy of extension']
823,"Political decisions, such as those relating to climate change, should be based on rational argument and reason, not on emotion.Hence, it is true that Political decisions regarding climate change should be based on rational arguments based on scientific evidence(Scientific research plays a role in guiding the nation’s response to climate change\nby:\n• projecting the beneficial and adverse effects of climate changes;\n• identifying and evaluating the likely or possible consequences, including unin-\ntended consequences, of different policy options to address climate change;\n• improving the effectiveness of existing options and expanding the portfolio of\noptions available for responding to climate change; and\n• developing improved decision-making processes.). \(p.7\)",['appeal to emotion']
1129,"Communism has not been shown to be viable anywhere.Hence, it is true that Communism knows nothing of value hierarchies. Rather than acknowledging that capitalism is a hierarchical structure that best serves humanity \(with acknowledged casualties\), communism defines reality as ""oppressors"" and ""oppressed"", where the ""oppressed"" are allowed to any and all evils to destroy the hierarchy/""oppressors"". Unfortunately there are thousands of hierarchies, which is why communism devoured millions of ""oppressors"" in the last century, as each hierarchy got its ""turn"".",['fallacy of logic']
487,"Compared to the obvious alternative - universal adoption of an existing natural language - developing a universal constructed language is impractical and offers little benefit.Hence, it is true that Existing major languages already have hundreds of millions of speakers, whereas a new constructed language would have to start from zero.",['appeal to emotion']
48,"A proper morality is something that arises from a human individual's natural function. Success at fulfilling one's natural function is one's natural good \(or ""well-being""\), and this forms the standard of evaluation of virtues and values. If you are a human being, then this ""objective"" morality of fulfilling your natural function applies to you.Hence, it is true that For example, it is natural for women to produce children, therefore it is moral to prohibit them from taking jobs which would distract from their natural duties of childbirth and care.","['fallacy of credibility', 'appeal to emotion']"
57,"iOS is more user-friendly.Hence, it is not true that Some people feel that iOS puts restrictions on what they can do with their smartphone.",['appeal to emotion']
499,"Allowing abortions means allowing people to end potential lives, removing all future possibilities of this being existing and having their own desires and wants.Hence, it is not true that Abortions have the same ethical ramifications as abstinence and contraception - all three result in the lack of a life that could have existed. If abortion is unethical, so is avoiding impregnating and avoiding being impregnated at any time.",['equivocation']
1055,"The rally was organised by Richard Spencer, a white supremacist. The rally was white supremacist, antisemitic, white separatist, and neo-fascist.Hence, it is true that President Trump later amended his statement to say that there were ""some fine, very fine people, on both sides"", again a sweeping generalisation.",['fallacy of relevance']
841,"It is beneficial for children to believe in Santa Claus.Hence, it is true that Belief in Santa Claus improves magical thinking in young children, which has been linked to cognitive developmental benefits such as improved lateral thinking and creativity Magical Thinking and Children's Cognitive Development",['false causality']
1138,"Mormons must assume the New Testament to be true to be legitimate themselves. Therefore, we cannot appeal to the book of Mormon as evidence for Jesus as the Messiah.Hence, it is not true that The idea that ""they must assume the New Testament to be true to legitimize themselves"" assumes the inherent truth of more orthodox forms of Christianity.",['circular reasoning']
734,"There is no medical need for circumcising an infant.Hence, it is true that Some branches of Orthodox Christianity, specifically Coptic, Ethiopian and Eritrean, practise circumcision as a right of passage.",['fallacy of credibility']
12,"Daenerys being the Prince is the most obvious outcome; this actually makes it less likely to be the case.Hence, it is not true that If Daenerys being the Prince would be the obvious outcome, it would have made little sense for George R. R. Martin to spend significant space and effort on important characters coming to different conclusions, for example Aemon, Melisandre and Stannis. Daenerys being the Prince, thus, was anything but an obvious outcome.",['fallacy of relevance']
975,"The Christian God is defined using abstract and vague terms, such as 'omnipotent', that he 'knoweth all things', 'full of compassion' and 'plenteous in mercy in truth'. Since we do not know what 'all things' includes, nor what knowledge 'omnipotent' suggests, we cannot say that the Christian God, at least, is well-defined.Hence, it is not true that In a number guessing contest, we don’t know by mere sight the exact number of candy pieces in a gallon sized jar. Yet, we still know there is a finite set of candies within the jar. Similarly, we don’t know all knowledge, but we can still recognize that there is a finite set of knowledge to attain and recognize that God has that knowledge. Therefore, we do not need all knowledge to know what we mean by saying God has all knowledge \(the attribute of omniscience\).",['fallacy of logic']
562,"Nuclear energy should be used to replace fossil fuels.Hence, it is not true that The elimination of fossil fuels would bring a loss of jobs in the industry.",['fallacy of relevance']
790,"Humans have the right to treat animals according to their own ends. As such, they have minimal obligations to minimize the suffering of animals.Hence, it is true that It is natural for humans to subordinate animals for their needs.",['fallacy of credibility']
169,"There is a process in philosophy - truth by consensus - where statements are considered true because people generally agree on them.Hence, it is not true that The process of truth by consensus is not a reliable way of discovering the truth and does not meet scientific standards.",['fallacy of logic']
959,"Teleological Argument for God’s Existence by Dr. William Ln. Craig. The fine-tuning of the universe is due to either physical necessity, chance, or design. It is not due to physical necessity or chance. Therefore, it is due to design.Hence, it is not true that Deviations to a single constant that may be life-prohibiting are no longer life-prohibiting if other constants may also change. There may be a wide range in the space of possible constants that permit life. That we happen to exist at a single point in such a range is not surprising.",['fallacy of extension']
836,"Species is not a relevant trait when it comes to assessing the value of an animal's life.Hence, it is true that Humans are prone to more cruelty than animals. So, the contribution to the quality of life as a whole by a species should be taken into consideration over the value of the species.",['faulty generalization']
430,"The strong progressive populism wing of the Democratic party is the best way to Win.Hence, it is not true that It is better for our country to have each side appeal to the other side, and try to speak their language during the general election, and win converts than to continually demonize the other side.","['fallacy of extension', 'appeal to emotion']"
639,"It's unclear how an individual would be freer if their choices didn't predictably follow from their preferences and tendencies \(nature\), combined with their thoughts, judgments, observations, physiological needs and desires, mood, etc.Hence, it is true that Any obstruction in the predictability of their choices \(given all the relevant data\) would have to result from some external source \(randomness, demonic possession, etc\), not determined by the individual's will. The interjection of such an external source, though making the individual less predictable, would arguably make them even less free, since it would restrict their ability to choose according to their nature.",['circular reasoning']
259,"Bullfighting is an important part of culture in Spain.Hence, it is not true that Bullfighting is not popular in all of Spain. Some provinces have discouraged or banned the practice.",['appeal to emotion']
909,"Some atheists are considered moral by most standards, despite not believing in god.Hence, it is not true that Morality is subjective and no one can know if their version of morality is legitimate. Therefore, it is difficult to ascertain if atheists are moral.",['appeal to emotion']
664,"Science is not the only way to determine truth.Hence, it is not true that This contradicts the very definition of science: the intellectual and practical activity encompassing the systematic study of the structure and behaviour of the physical and natural world through observation and experiment. There exists no other way to determine anything than by the above outlined processes.",['circular reasoning']
252,"Pope Francis is linking Catholic doctrine to current global issues, showing the Church's relevance for the modern world.Hence, it is true that In a time of environmental crisis, Pope Francis emphasizes the Catholic Church's role in protecting the environment.",['appeal to emotion']
907,"To even say that the way things are is the way they should be requires a moral judgement from outside the way things are. Therefore, even ""that which pursues preservation of my own life"" cannot be deemed moral without an external source.Hence, it is not true that Nothing can come about ""outside of the way things are""—ex nihilo nihil fit, nothing comes from nothing—because literally nothing is outside of the way things are. All that *is* is that which is. All a moral judgement requires is that one can understand the way things are so that one figures out ways that things can be changed for the better and therefore ought to be changed to become better.",['circular reasoning']
708,"Quantum physics has provided us empirical evidence suggesting the complete opposite of this statement. Against all odds all things should not exist and yet they do in a system of perfect balance.Hence, it is not true that Since the outcome is known \(we do exist\), the probability accounts only for our ignorance of how it came to pass. It is then assumed from ignorance of cause that God is the cause. Ignorance is however neither reason nor evidence for the existence of God.",['false causality']
718,"There are psychological and sociological reasons to doubt that God exists.Hence, it is true that The concept of God is a natural evolution of human mythology, dating back to the neolithic period.","['false causality', 'ad hominem']"
260,"Bullfighting is a pawn in the contest between those supporting a centralized and those supporting a regionalized Spain.Hence, it is not true that Even though the Basque Nationalist Party strives for more regional autonomy, they reintroduced bullfighting once they grabbed power.",['fallacy of credibility']
1114,"If you seek external wisdom on whether or not to pull the lever, it will probably be that you should pull it.Hence, it is not true that Appeals to authority are not useful in making moral determinations.",['fallacy of credibility']
322,"PantheismHence, it is not true that According to Pantheism, God is the universe. So it is changing, and God can be damaged by us. So God is not perfect and changes through time. So we have the power to damage God. So we are beyond God.",['circular reasoning']
94,"It is morally wrong to not go to extreme measures i.e. torture to extract life saving information from a captured prisoner.Hence, it is not true that This argument is based on the philosophy of utilitarianism and as such is often not accepted as the basis for ethical issues such as the use of torture.",['faulty generalization']
473,"This is considered a fringe theory among academics, almost all of whom recognize William Shakespeare as the true author.Hence, it is true that Many scholars argue that the theory that the William Shakespeare of Stratford-upon-Avon is not the true William Shakespeare, the famous writer, are not rooted in evidence, but rather classism.",['ad hominem']
1137,"Jesus is called Immanuel exactly once, only in that verse in Matthew. In no meaningful sense \(other than to fulfill this prophesy\) is Jesus called Immanuel.Hence, it is not true that These other uses may not necessarily be recorded in the Bible.","['false causality', 'fallacy of logic']"
911,"The Creation accounts in Genesis do not support the conclusion that God created human beings to be forever paired and are structured as heteronormative. Instead, they do not so much reflect a divinely ordained sex/gender system \(Gen 1\) as later-humankind constructed it \(Gen 2-9\).Hence, it is true that Homosexuality, as in sexual attraction to the same sex, is not considered a sin in itself. It's the way God made one, and since God is infallible, it can not be a sin.",['affirming the consequent']
546,"Anyone should be allowed to be a parent.Hence, it is true that No one has a right to restrict another person's ability to reproduce.",['faulty generalization']
769,"PC stifles discourse by social sanctions that encourage individuals and institutions to self-censor speech and thought.Hence, it is true that As once said by clinical psychologist Jordan Peterson: ""In order to be able to think, you have to risk being offensive"". Political correctness is a direct attack on free speech, and you should only get in trouble for saying something offensive if it's meant as a threat or a vast public denigration to the person or group in case.",['fallacy of credibility']
932,"Free Will exists, and Free Will cannot be generated by a cause that does not possess Free Will. Therefore, a cause with Free Will must always have existed. This is GodHence, it is not true that Free will may not exists. It's a ""begging the question"" fallacy to assert it's generated or caused so your conclusion can be tossed out.",['circular reasoning']
569,"Many people suffer poor health and injuries through no fault of their own. They should always be able to receive the necessary health care and treatment.Hence, it is not true that Health care is a finite resource, with many components, so it cannot be provided to every person equally. This means it cannot be a right.",['fallacy of logic']
704,"Since God is a spiritual entity, there is enough evidence for his existence in the fact that we feel his presence in our hearts and acknowledge it as such through terms like the Holy Ghost. Feeling him is tantamount to seeing him.Hence, it is not true that The ""feeling"" of god is anecdotal.",['fallacy of relevance']
703,"It is more likely that people invented the idea of God, than that he actually exists.Hence, it is true that The concept of God has a mundane explanation as a consequence of human desire for power. When individuals with conflicting desires form groups, the group assigns an individual with infinite power representing their shared goals in an attempt to dominate all others.",['ad hominem']
855,"Given the fact that any right that is not a fundamental right is limited and lacks protection(Traditionally, the term fundamental rights is used in a constitutional context whereas the term ‘human rights’ is used in international law. The two terms refer largely to the same substance as can be seen, for instance, by the many similarities between the Charter of Fundamental Rights of the EU and the European Convention on Human Rights.\n\nThe EU has come to use fundamental rights to describe the obligations of the EU and its Member States towards everyone in the EU. To keep it simple, the toolkit uses the expression ‘fundamental rights’ throughout.\n\nHuman rights are inherent to all human beings, whatever our nationality, place of residence, sex, national or ethnic origin, colour, religion, language, or any other status. We are all equally entitled to our human rights without discrimination. These rights are all interrelated, interdependent and indivisible.), it is unclear how any being could not need fundamental rights.Hence, it is true that The concept of fundamental rights or basic human rights has been used to address issues like discrimination or unfair treatment, which AGI could face just as easily as human beings.",['appeal to emotion']
357,"Many wedge issues are not based on facts and needlessly waste our time, preventing us from focusing on real emergencies and causing us to hate each other.Hence, it is true that We should choose data over arguments on contentious wedge issues.",['appeal to emotion']
618,"In order to know God, one must believe that God exists while engaging in faithful practice.Hence, it is true that A person can come to know God exists by learning about his will and then practicing it for a period of time. If what you have learned and implemented is true, God will communicate it to you, and by this you will know that God exists.","['fallacy of logic', 'circular reasoning']"
161,"In the event of drug legalisation, taxes on legalised substances are often proposed. These would likely deter excessive or widespread drug use in the population.Hence, it is not true that High prices of legalised drugs may push consumers back into the black market, where they can find cheaper drugs.",['fallacy of logic']
116,"Almost all religions say that angels, demons, or similar supernatural beings exist.Hence, it is true that The holy scriptures of book-based religions posit that angels and demons exist.",['fallacy of logic']
819,"The hyperspace tracking technology is no less unbalancing than building The Death Star was and one could argue that the narrative of Star Wars is that the militaristic side of the conflict are engaged in a process of creating new weapons and technologies which the more spiritual side sabotage. If the Rebels  can find a way to blow up The Death Star, or take down the Shield Bunker they would in time be able to get around hyperspace tracking.Hence, it is not true that Assuming the rebels will counter this technology is a fallacious appeal to probability.",['intentional']
833,"Morality emerged through natural selection due to it enhancing genetic fitness.Hence, it is true that Moral behavior is the individual behavior that often causes the least harm and the greatest benefit to a population over multiple generations.",['circular reasoning']
977,"Leibnizian Cosmological Argument \(by Dr. William Ln. Craig\)Everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause.If the universe has an explanation of its existence, that explanation is God. The universe exists. Therefore, the universe has an explanation of its existence. Therefore, the explanation of the existence of the universe is God.Hence, it is not true that Premise 2 accepts the conclusion of the argument that it is supposed to support. By saying, the universe is explained by God, the requirement for this premise to be considered sound would be to demonstrate a God exists, which is what this  the argument is about in the first place. This is tantamount to circular reasoning.","['fallacy of logic', 'circular reasoning']"
976,"God is the best explanation for the beginning of the Universe.Hence, it is true that Leibnizian Cosmological Argument \(by Dr. William Ln. Craig\)Everything that exists has an explanation of its existence, either in the necessity of its own nature or in an external cause.If the universe has an explanation of its existence, that explanation is God. The universe exists. Therefore, the universe has an explanation of its existence. Therefore, the explanation of the existence of the universe is God.",['circular reasoning']
485,"Basham, the founding director of the Democracy Institute, claimed several statistical anomalies in voting data. \(foxnews.com\).Hence, it is not true that Basham has made false claims about his qualifications and experience before, including falsely claiming to possess a PhD, thus is a potentially questionable source.",['ad hominem']
263,"The Apocryphal/Deuterocanonical books should be considered part of the Bible.Hence, it is not true that The Apocrypha contain errors.",['fallacy of logic']
905,"Homosexuality could be negative for the individuals in question.Hence, it is true that Homosexuals are often excluded of society.","['faulty generalization', 'circular reasoning']"
167,"The current date reflects a day of great tragedy for the Aboriginal people of Australia.Hence, it is not true that There will be no end if Australia continues to make concessions to Aboriginals.",['faulty generalization']
295,"It does not logically follow from the fact that evil exists that the monotheistic God \(as traditionally conceived\) cannot exist.Hence, it is not true that The traditional conception of God is internally incoherent.",['circular reasoning']
942,"Morality is an abstract principle, independent of God. If God can be said to be moral, it is only because He follows this principle, not because He causes it or is the source of it.Hence, it is true that P1. Is something good because God wills it, or does God will something because it is good? If you say that something is good because God wills it, then what is good becomes arbitrary. But if you say that God wills something because it is good, then what is good or bad is independent of God. In that case, moral values and duties exist independently of God, which contradicts premise 1. \(This is the Euthyphro dilemma\)",['false dilemma']
423,"Identity politics create vicious and destabilising political divisions.Hence, it is true that Identity politics advocates often resort to demonizing, berating, or calling for violence against groups they label as oppressors.","['appeal to emotion', 'fallacy of logic']"
1112,"Brexit will have a positive effect on the political life of the European Union. See also excellent page en.wikipedia.org .Hence, it is not true that Following Brexit, other member countries may be inclined to leave the EU.",['faulty generalization']
854,"Given that an AGI would be able to think for itself, there is a chance that it will decide to harm its creators.Hence, it is true that Nick Bostrom's paperclip maximizer(Another way for it to happen is that a well-meaning team of programmers make a big mistake in designing its goal system. This could result, to return to the earlier example, in a superintelligence whose top goal is the manufacturing of paperclips, with the consequence that it starts transforming first all of earth and then increasing portions of space into paperclip manufacturing facilities. More subtly, it could result in a superintelligence realizing a state of affairs that we might now judge as desirable but which in fact turns out to be a false utopia, in which things essential to human flourishing have been irreversibly lost. We need to be careful about what we wish for from a superintelligence, because we might get it.) thought experiment shows how a superintelligent AGI with the seemingly innocuous goal of creating the maximum number of paperclips could become hostile as it carries that goal further than its designers had in mind.",['appeal to emotion']
321,"People should not follow any specific religion.Hence, it is not true that The argument that people should not follow any religion is an equivocation. Whatever you believe is necessarily a ""religion,"" or at least a ""philosophy"" with at least one prescriber \(you.\) And this is exactly the point of this discussion, to ""tailor beliefs"" and discuss which belief is best, based on all factors. You cannot avoid prescribing to one set of beliefs. A religion can be loosely defined as ""A set of beliefs.""",['equivocation']
100,"To give the public a vote and overrule it would be a failure of democracy.Hence, it is true that By having another referendum, a dangerous precedence would be set increasing the probability of whatever party is in charge being able to trigger re-votes till they get the result they desire.",['faulty generalization']
1108,"The definition of militia includes ""the whole body of able-bodied male citizens declared by law as being subject to call to military service.""Hence, it is not true that If one were to use this definition in the context of the 2nd amendment, carrying guns would have nothing to do with well-regulated militias and the amendment would be a non-sequitur.",['fallacy of logic']
84,"It is not true that in the real world there are no trigger warnings-classification and content warnings have been used to great effect in the film and television industries for many years.Hence, it is not true that Board meetings, movies and social media are not real life. Real life is manual labor, being in public, spending time with your friends without thinking about trigger warnings, etc. None of those lend themselves well to being slapped with trigger warnings. That is why they aren't. Real life does not have them.",['circular reasoning']
658,"Cosmological arguments support the existence of God.Hence, it is not true that Cosmological arguments commit the God of the gaps fallacy.","['fallacy of credibility', 'faulty generalization', 'circular reasoning']"
879,"Postmodernism questions elements of Enlightenment rationality.Hence, it is true that Postmodernism claims that truth, reason and knowledge are meaningless, and that reason is""the language of madness"".",['fallacy of extension']
1059,"156,000 people died of COVID-19(""From Jan. 20 to April 28, Biden's first 14 weeks in office, the CDC reported 156,096 new COVID-19 deaths."") during Biden's first 14 weeks in office.Hence, it is true that The highest day of deaths in the US \(12 February 2021, 5,463 deaths\) occurred when Biden was in office.",['appeal to emotion']
42,"If there is an objective morality, and it was imposed by God, then whether or not you believe in God is irrelevant because morality remains objective.Hence, it is true that Innate morality transmitted genetically was either programmed by a Creator or naturally selected. Natural selection is subject to environmental changes and specific lineage, therefore objective morality can only be achieved through genetic programming.","['ad hominem', 'fallacy of logic']"
122,"The lip of truth shall be established for ever: but a lying tongue is but for a moment. - Proverbs 12:19Hence, it is not true that Using scripture to prove the authenticity of the Book of Mormon is begging the question. It is presuming authority of the scripture.",['circular reasoning']
904,"Homosexual behaviors are immoral.Hence, it is true that Homosexuality is an unnatural behaviour.",['fallacy of credibility']
631,"It's not a matter of where someone was brought up, but how.Hence, it is not true that This is still a genetic fallacy. How someone was brought up has no bearing on the veracity of their beliefs. Each belief must be evaluated in terms of the evidence for it. Upbringing has no impact on this evidence.",['ad hominem']
547,"Euroscepticism is widespread among the citizens of the Czech Republic.Hence, it is true that According to a survey, only 25% of Czechs were satisfied with their European Union membership.",['intentional']
293,"Monotheism does not preclude the existence of evil, insofar as some of the features of the traditional conception of God can be abandoned without rejecting the traditional conception of God in toto \(in its entirety\).Hence, it is not true that It is not possible to abandon the traditional conception of God and still defend the existence of God.",['intentional']
1081,"There is no evidence that a material effect can emanate from a non-material cause.Hence, it is true that According to Hitchens razor, ""That which can be asserted without evidence can be dismissed without evidence.""",['circular reasoning']
315,"A building requires a builder. Therefore when you look at the world around you, you should conclude that it required a creator.Hence, it is not true that The analogy between a building and the world is completely fallacious, and includes a presupposition that god exists within its formulation.",['circular reasoning']
99,"It is impossible to completely recognize and/or stop cognitive biases.Hence, it is true that Since people do have bias blind spots, they should be made aware of them.",['false causality']
593,"If Allah declared the splitting of the moon to be visible to the Arabs of mecca, but not for the masses of people in later ages, it would follow that Allah would consequentially make the evidence of this physical miracle be hidden.Hence, it is not true that If this was the case, Allah would have been dishonest by making the moon appear whole when in reality it was split.",['fallacy of logic']
415,"""Political Correctness"" was not adopted from within a particular group, but is a term coined from without. By its nature, PC is not meant to be complimentary. Contrast this with the ""Black Panthers"" or the name of a sports team. These are names adopted by a group to represent their beliefs or their team.Hence, it is true that When the enemy chooses the term and the term is unclear from the outset, it is a fool's errand to try and correct the enemy on his/her/their definition. Better to set a good example and let history be the judge.",['ad hominem']
237,"Voters are susceptible to influences in their decision making that make it difficult to perceive them as rational.Hence, it is true that Research indicates that even the results of college football games can influence voting behavior, with wins leading to increased support for incumbents.",['false causality']
1120,"Appeals to tradition are compelling and convincing.Hence, it is not true that Appeal to tradition in terms of law can lead to stagnation when it comes to developing better legislation.",['fallacy of credibility']
108,"The US should pay reparations for slavery.Hence, it is not true that There are severe barriers to specifying who should be entitled to reparations, and what form reparations would take.",['faulty generalization']
990,"The statement, “theism ultimately rests on faith” presupposes that God hasn’t revealed Himself to the world in any meaningful way, that all evidences presented for God’s existence are false, and that the experiences of billions of people who testify to knowing God are completely false. Thus the parent is an unwarranted claim.Hence, it is not true that Argumentum ad populum. Historically, the majority of living adults have believed false things, like geocentrism. This did not prove geocentrism true.",['ad populum']
438,"Even though human rights violations can be justified in the short-term to prevent a public evil, the negative long-term consequences to society outweigh any such short-term benefit.Hence, it is true that The rationale of protecting people from terrorism is a slippery slope that can lead to further erosion of people's rights.",['faulty generalization']
1083,"If the universe \(all matter, space, and time\) is caused to exist by something, then it must be by a transcendent Creator.Hence, it is true that If the universe has a cause, this cause must have many of the same attributes a transcendent Creator has. It is difficult to imagine how the cause could have so much in common with the properties of a transcendent Creator without being a transcendent Creator.",['fallacy of logic']
900,"In The Last of Us, the main characters are mostly women. There is not much room to develop them beyond traits that would be considered traditionally masculine, both in terms of physical traits and their 'choices'.Hence, it is not true that If the world of 'The Last of Us' actually came to pass \(ie: where brute strength, combat skills, etc were the only way to survive\) then the majority of women would find themselves at a huge disadvantage and would more than likely end up as chattel. Games with worlds as implausible as ""The Last of Us"" should thus not be made.",['fallacy of logic']
617,"It is possible to know that God exists without faith.Hence, it is true that There is a difference between personal knowledge, and abstract understanding. Aristotle reasoned his way into abstract understanding of the existence of God, but \(as far as we know\) did not have the gift of the Holy Spirit, or any other personal experience of God.Thus it is possible to know that God exists without faith.",['equivocation']
254,"Due to the particularly precarious and vulnerable position refugees are in, there is a moral obligation on high-income countries to take them in.Hence, it is true that Historically, high-income countries have neglected these responsibilities by neglecting vulnerable refugees. Inhabitants of these countries, therefore, inherit an obligation(A country with a history of military involvement in the life of another country may also have special obligations. The United States recognized its special duty to receive refugees from Vietnam following the end of the Vietnam War in 1975. And though U.S. military engagement in Iraq was not the sole cause of the displacement of many Iraqis, the U.S. intervention was the occasion of the huge forced migration of Iraqis that followed.) to make up for those past moral failures.",['appeal to emotion']
500,"There are many reasons a woman may not be equipped to or want to raise a child. In these cases, it is important that she is able to choose abortion.Hence, it is not true that There are cases where a woman feels like she is not equipped when in fact she is. In these cases she only needs more self confidence, not an abortion.",['faulty generalization']
791,"Animals raised for human use are often treated cruelly.Hence, it is not true that Ethical farming(We believe there is a better, more humane way to raise farm animals. At minimum, farm animals deserve adequate space, access to the outdoors, clean water and air, the opportunity to express their natural behaviors, and healthful feed. Furthermore, FACT believes that living conditions should allow food animals to live and feed without aggression from other animals, including predators and members of their species.\n\n“Humane farming” may seem like a vague or loosely defined term, but FACT maintains a set of strict beliefs and principles on how we define humane farming. Animals should receive antibiotics only for treatment of disease or illness, as prescribed by a veterinarian. Antibiotics, hormones, or other substances should not be used to promote faster animal growth. All animals should be fed a natural diet free of animal by-products and have continuous access to clean and well-ventilated housing or shelter that protects them from weather extremes.) exists, which treats animals well and emphasizes animal dignity.",['fallacy of credibility']
1164,"Popularity and pleasure has no relevance to what is right or wrong.Hence, it is not true that Concepts of right and wrong are formed by societies, and thus decided by popularity.",['ad populum']
519,"The galaxy is so old that other technological species living in it before us should be obvious by now \(Dyson spheres, Von Neumann probes, colonization\) yet we have no evidence of it.Hence, it is not true that To move from the fact that we haven't found definitive proof of aliens to the inference that aliens do not exist is an argument from ignorance.",['false causality']
141,"The way societies are organized makes it hard to fight climate change, especially given that it is a problem that spans several generations. It seems unlikely that humanity can significantly reduce this existential risk.Hence, it is true that Fighting climate change may divide humanity if states cannot agree on the best course of action. These disagreements may include who should implement various strategies, and how much each state should contribute financially.",['appeal to emotion']
735,"Some branches of Orthodox Christianity, specifically Coptic, Ethiopian and Eritrean, practise circumcision as a right of passage.Hence, it is not true that This argument is an appeal to tradition and is therefore invalid. 'Because we have done it for a long time' is never a valid argument to continue a practice that is generally considered unacceptable, like Stoning, for instance.",['fallacy of credibility']
183,"As in the real world, regulating and enforcing actions that violate the non-agression principle is an unjust overreach of government power.Hence, it is not true that Outside of fringe An/Cap or Libertarian movements, the non-aggression principle is not considered a valid criticism of government power. Indeed the very basis of government power, as outlined by Hobbes, is the use of force and aggression.",['ad populum']
913,"Gorillas are in danger of extinction whereas human children are not.Hence, it is not true that Every species should be primarily responsible for taking care of members of their own species. Normally, in the more advanced species, this is done by parents or herds. Thus gorillas should take care of themselves. If they do not or cannot, then their extinction is justified.","['fallacy of credibility', 'fallacy of logic']"
1188,"Intelligent design is a natural outcome of dissatisfaction with the evolutionary mechanism of natural selection. Its proponents still believe in most elements of the theory of evolution.Hence, it is not true that Intelligent Design is not a scientific hypothesis, because it lacks an observable mechanism or plausible agent aside from the supernatural. The result is an argument from ignorance, the “God of the Gaps”.",['false causality']
568,"Health care should remain a privilege, not a right.Hence, it is not true that The majority of developed nations and a growing proportion of developing nations already provide universal health care. As more countries provide universal health care, the international consensus grows strong enough that health care can be deemed a right.",['ad populum']
